probIn scale
0.4079468 0.5009753
0.2016523 0.6539995
0.2343655 0.9164509
0.4542593 1.66529
0.1928601 0.7481512
0.6787624 0.4413775
0.3262753 0.996567
0.2788594 0.4482382
0.3027082 0.676511
0.4598434 0.9836196
0.2794898 1.086518
0.2031231 1.304532
0.4528858 0.7032362
0.4322356 0.6915736
0.217775 0.3484158
0.4415923 0.4992554
0.3580898 0.2544846
0.4693531 0.1270151
0.3808881 0.06388624
0.23006 0.0659519
0.3651839 0.07169385
0.3148101 0.1684393
0.2833312 0.1768068
0.2048765 0.1396432
0.3892241 0.1338634
0.4562644 0.2083089
0.4760519 0.2099045
0.2320253 0.2521012
0.5347376 0.2235178
0.3962608 0.1195839
0.3027532 0.09035392
0.3096262 0.03274461
0.389747 0.0338326
0.3553772 0.0329689
0.5912709 0.02737741
0.2062648 0.02760618
0.4377787 0.0235918
0.3107124 0.03113972
0.4196278 0.05893287
0.2564966 0.01580675
0.3306841 0.009888924
0.3446517 0.01718996
0.2319635 0.02000043
0.3847128 0.02493111
0.5303334 0.04114311
0.4367467 0.07759229
0.4089123 0.1318389
0.6240669 0.08507446
0.4238806 0.06515634
0.320427 0.1349169
0.3097205 0.1910625
0.4083877 0.5389813
0.3786845 0.2141871
0.4144099 0.1794441
0.3930341 0.2687651
0.4594646 0.1958328
0.4457295 0.1927666
0.4652099 0.173487
0.4331715 0.153135
0.405949 0.1127987
0.3317346 0.1654109
0.2537368 0.2617718
0.2973248 0.2055698
0.3988205 0.1754102
0.3103051 0.1486171
0.318625 0.1763713
0.2626668 0.2013166
0.3096191 0.2291462
0.2790897 0.1845208
0.3568263 0.2454257
0.3177204 0.2145431
0.4839891 0.2784239
0.397396 0.2915482
0.4661072 0.15497
0.4405434 0.1601987
0.3925652 0.2553248
0.2907223 0.2535097
0.3089315 0.3445437
0.2537806 0.303388
0.5096512 0.2176832
0.2412368 0.2427064
0.4170738 0.2078602
0.3776817 0.4140176
0.4861411 0.3231554
0.4676486 0.2537174
0.3238595 0.1094993
0.3375496 0.08745674
0.3355708 0.02842945
0.2214064 0.05358946
0.4309047 0.08230383
0.3157316 0.07111354
0.4098272 0.05794118
0.2838926 0.04410182
0.5465133 0.04123634
0.4698231 0.1389821
0.4906325 0.0634892
0.4096745 0.1209779
0.5413476 0.09740742
0.6319736 0.0487617
0.2171224 0.03332312
0.2462717 0.1627467
0.2933012 0.08950347
0.3267978 0.07516614
0.380809 0.08587547
0.3530874 0.1264336
0.4438243 0.1568656
0.4328355 0.1557704
0.5829273 0.0846701
0.4995804 0.04298737
0.3096487 0.09161364
0.4255214 0.05266841
0.2161691 0.1473005
0.5900267 0.234864
0.4693563 0.1360316
0.281614 0.2175163
0.4881831 0.3828951
0.3766402 0.6401733
0.4694611 0.9726102
0.1409364 1.562622
0.3585835 1.541621
0.3866875 2.905025
0.2540796 2.161166
0.3855359 1.15473
0.4917581 2.410435
0.2630807 1.596696
0.3188819 2.115985
0.3766877 1.46616
0.3572947 1.118236
0.4561002 1.103811
0.3888804 0.5978651
0.2967334 0.2196468
0.2232816 0.2320499
0.2781684 0.2492418
0.3337924 0.2791671
0.3090971 0.4201904
0.2984276 0.4025614
0.6228571 0.3673501
0.4408951 0.427455
0.5608333 0.2985053
0.2844554 0.1171518
0.3841153 0.1426235
0.4371385 0.1089935
0.2459137 0.1013391
0.3163925 0.1324229
0.3423104 0.0869022
0.2715024 0.03101943
0.2963405 0.02496209
0.3429393 0.07779097
0.3463972 0.3311938
0.4208372 0.3776104
0.376753 0.2045294
0.2908745 0.2527125
0.3475882 0.4322921
0.3980857 0.2966192
0.3479413 0.2514685
0.3185458 0.1862198
0.5640096 0.2364171
0.389887 0.1738814
0.3357752 0.2325178
0.2707417 0.186984
0.4718599 0.2795034
0.2643528 0.1488802
0.5456205 0.2755403
0.4260217 0.496462
0.3359982 0.2080267
0.4170033 0.1966806
0.5224375 0.1269564
0.5264052 0.1874075
0.2595553 0.2365622
0.3764662 0.197799
0.4622959 0.1574866
